港口,起运拖车20USD,起运拖车40USD,目的拖车20USD,目的拖车40USD,数据来源
Abidjan,300,380,400,500,MOCK
Abu Dhabi,300,380,400,500,MOCK
Acajutla,300,380,400,500,MOCK
Adelaide,300,380,400,500,MOCK
Ajman,300,380,400,500,MOCK
Alexandria,300,380,400,500,MOCK
Algeciras,300,380,400,500,MOCK
Algecirus,300,380,400,500,MOCK
Alger,300,380,400,500,MOCK
Aliaga,300,380,400,500,MOCK
Altamira,300,380,400,500,MOCK
Ancona,300,380,400,500,MOCK
Antwerp,300,380,400,500,MOCK
Apapa,300,380,400,500,MOCK
Aqaba,300,380,400,500,MOCK
Arica,300,380,400,500,MOCK
Ashdod,300,380,400,500,MOCK
Auckland,300,380,400,500,MOCK
Bahrain,300,380,400,500,MOCK
Balboa,300,380,400,500,MOCK
Baltimore,300,380,400,500,MOCK
Bangkok,300,380,400,500,MOCK
Barcelona,300,380,400,500,MOCK
Bari,300,380,400,500,MOCK
Barranquilla,300,380,400,500,MOCK
Beira,300,380,400,500,MOCK
Beirut,300,380,400,500,MOCK
Bell Bay,300,380,400,500,MOCK
Bilbao,300,380,400,500,MOCK
Boston,300,380,400,500,MOCK
Bremerhaven,300,380,400,500,MOCK
Brisbane,300,380,400,500,MOCK
Buenaventura,300,380,400,500,MOCK
Buenos Aires,300,380,400,500,MOCK
Busan,300,380,400,500,MOCK
Cai Mep,300,380,400,500,MOCK
Callao,300,380,400,500,MOCK
Cape Town,300,380,400,500,MOCK
Capetown,300,380,400,500,MOCK
Cartagena,300,380,400,500,MOCK
Casablanca,300,380,400,500,MOCK
Caucedo,300,380,400,500,MOCK
Cct,300,380,400,500,MOCK
Cebu,300,380,400,500,MOCK
Chancay,300,380,400,500,MOCK
Charleston,300,380,400,500,MOCK
Chennai,300,380,400,500,MOCK
Chittagong,300,380,400,500,MOCK
Colombo,300,380,400,500,MOCK
Colon,300,380,400,500,MOCK
Colon Container T.,300,380,400,500,MOCK
Constanta,300,380,400,500,MOCK
Corinto,300,380,400,500,MOCK
Cotonou,300,380,400,500,MOCK
Da Nang,300,380,400,500,MOCK
Dakar,300,380,400,500,MOCK
Dalian,300,380,400,500,MOCK
Dameitta,300,380,400,500,MOCK
Damietta,300,380,400,500,MOCK
Dammam,300,380,400,500,MOCK
Damman,300,380,400,500,MOCK
Danang,300,380,400,500,MOCK
Dar Es Salaam,300,380,400,500,MOCK
Darwin,300,380,400,500,MOCK
Davao,300,380,400,500,MOCK
Derince,300,380,400,500,MOCK
Djibouti,300,380,400,500,MOCK
Dublin,300,380,400,500,MOCK
Dunkerque,300,380,400,500,MOCK
Dunkirk,300,380,400,500,MOCK
Durban,300,380,400,500,MOCK
Durres,300,380,400,500,MOCK
Ensenada,300,380,400,500,MOCK
Felixstowe,300,380,400,500,MOCK
Fos,300,380,400,500,MOCK
Fremantle,300,380,400,500,MOCK
Gdansk,300,380,400,500,MOCK
Gdynia,300,380,400,500,MOCK
Gebze,300,380,400,500,MOCK
Gemlik,300,380,400,500,MOCK
Genoa,300,380,400,500,MOCK
Genova,300,380,400,500,MOCK
Georgetown,300,380,400,500,MOCK
Gijon,300,380,400,500,MOCK
Gothenborg,300,380,400,500,MOCK
Guayaquil,300,380,400,500,MOCK
Hai Phong,300,380,400,500,MOCK
Haifa,300,380,400,500,MOCK
Haiphong,300,380,400,500,MOCK
Halifax,300,380,400,500,MOCK
Hamad,300,380,400,500,MOCK
Hamburg,300,380,400,500,MOCK
Hamburg Cta,300,380,400,500,MOCK
Hamburg Ctb,300,380,400,500,MOCK
Hamburg Ctt,300,380,400,500,MOCK
Hamburg Eurogate,300,380,400,500,MOCK
Hazira,300,380,400,500,MOCK
Helsingki,300,380,400,500,MOCK
Helsinki,300,380,400,500,MOCK
Ho Chi Minh,300,380,400,500,MOCK
Hochiminh,300,380,400,500,MOCK
Hong Kong,300,380,400,500,MOCK
Hongkong,300,380,400,500,MOCK
Houston,300,380,400,500,MOCK
Imbituba,300,380,400,500,MOCK
Incheon,300,380,400,500,MOCK
Inchon,300,380,400,500,MOCK
Iquique,300,380,400,500,MOCK
Iskenderun,300,380,400,500,MOCK
Istanbul,300,380,400,500,MOCK
Itapoa,300,380,400,500,MOCK
Izmit,300,380,400,500,MOCK
Jakarta,300,380,400,500,MOCK
Jebel Ali,300,380,400,500,MOCK
Jeddah,300,380,400,500,MOCK
Jiangyin,300,380,400,500,MOCK
Jubail,300,380,400,500,MOCK
Kao Hsiung,300,380,400,500,MOCK
Kaohsiung,300,380,400,500,MOCK
Kaosiung,300,380,400,500,MOCK
Karachi,300,380,400,500,MOCK
Kattupalli,300,380,400,500,MOCK
Keelung,300,380,400,500,MOCK
Khalifa,300,380,400,500,MOCK
Kingston,300,380,400,500,MOCK
Klaipeda,300,380,400,500,MOCK
Kobe,300,380,400,500,MOCK
Kolkata,300,380,400,500,MOCK
Koper,300,380,400,500,MOCK
Kotka,300,380,400,500,MOCK
Kribi,300,380,400,500,MOCK
Kumport,300,380,400,500,MOCK
Kwangyang,300,380,400,500,MOCK
La Spezia,300,380,400,500,MOCK
Lae,300,380,400,500,MOCK
Laem Chabang,300,380,400,500,MOCK
Laemchabang,300,380,400,500,MOCK
Lautoka,300,380,400,500,MOCK
Lazaro Cardenas,300,380,400,500,MOCK
Le Haver,300,380,400,500,MOCK
Le Havre,300,380,400,500,MOCK
Leam Chabang,300,380,400,500,MOCK
Lekki,300,380,400,500,MOCK
Lianyungang,300,380,400,500,MOCK
Limassol,300,380,400,500,MOCK
Lirquen,300,380,400,500,MOCK
Lisbon,300,380,400,500,MOCK
Liverpool,300,380,400,500,MOCK
Lome,300,380,400,500,MOCK
London Gateway,300,380,400,500,MOCK
Long Beach,300,380,400,500,MOCK
Los Angeles,300,380,400,500,MOCK
Luanda,300,380,400,500,MOCK
Lyttelton,300,380,400,500,MOCK
Macapa,300,380,400,500,MOCK
Malta,300,380,400,500,MOCK
Manaus,300,380,400,500,MOCK
Manila,300,380,400,500,MOCK
Manila North,300,380,400,500,MOCK
Manila South,300,380,400,500,MOCK
Manzanillo,300,380,400,500,MOCK
Manzanillo - Timsa,300,380,400,500,MOCK
"Manzanillo, Mex",300,380,400,500,MOCK
"Manzanillo, Pa",300,380,400,500,MOCK
"Manzanillo,Pa",300,380,400,500,MOCK
Maputo,300,380,400,500,MOCK
Melbourne,300,380,400,500,MOCK
Mersin,300,380,400,500,MOCK
Miami,300,380,400,500,MOCK
Mobile,300,380,400,500,MOCK
Moin,300,380,400,500,MOCK
Mombasa,300,380,400,500,MOCK
Montevideo,300,380,400,500,MOCK
Montreal,300,380,400,500,MOCK
Mundra,300,380,400,500,MOCK
Nacala,300,380,400,500,MOCK
Nagoya,300,380,400,500,MOCK
Nansha,300,380,400,500,MOCK
Napier,300,380,400,500,MOCK
Napoli,300,380,400,500,MOCK
Navegantes,300,380,400,500,MOCK
New Orleans,300,380,400,500,MOCK
New York,300,380,400,500,MOCK
Nhava Sheva,300,380,400,500,MOCK
Nhave Sheva,300,380,400,500,MOCK
Ningbo,300,380,400,500,MOCK
Norfolk,300,380,400,500,MOCK
Oakland,300,380,400,500,MOCK
Onne,300,380,400,500,MOCK
Osaka,300,380,400,500,MOCK
Paita,300,380,400,500,MOCK
Panama Canal,300,380,400,500,MOCK
Paramaribo,300,380,400,500,MOCK
Paranagua,300,380,400,500,MOCK
Pasir Gudang,300,380,400,500,MOCK
Penang,300,380,400,500,MOCK
Philadelphia,300,380,400,500,MOCK
Pipavav,300,380,400,500,MOCK
Piraeus,300,380,400,500,MOCK
Pointe Noire,300,380,400,500,MOCK
Port Au Prince,300,380,400,500,MOCK
Port Everglades,300,380,400,500,MOCK
Port Kelang,300,380,400,500,MOCK
Port Kelang North,300,380,400,500,MOCK
Port Kelang West,300,380,400,500,MOCK
Port Klang,300,380,400,500,MOCK
Port Klang North,300,380,400,500,MOCK
Port Klang West,300,380,400,500,MOCK
Port Louis,300,380,400,500,MOCK
Port Moresby,300,380,400,500,MOCK
Port Of Spain,300,380,400,500,MOCK
Port Qasim,300,380,400,500,MOCK
Port Said West,300,380,400,500,MOCK
Posorja,300,380,400,500,MOCK
Prince Rupert,300,380,400,500,MOCK
Puerto Caldera,300,380,400,500,MOCK
Puerto Cortes,300,380,400,500,MOCK
Puerto Quetzal,300,380,400,500,MOCK
Pusan,300,380,400,500,MOCK
Qingdao,300,380,400,500,MOCK
Qinzhou,300,380,400,500,MOCK
Quan Zhou,300,380,400,500,MOCK
Quanzhou,300,380,400,500,MOCK
Ravenna,300,380,400,500,MOCK
Riga,300,380,400,500,MOCK
Rijeka,300,380,400,500,MOCK
Rio De Janeiro,300,380,400,500,MOCK
Rio Hania,300,380,400,500,MOCK
Rotterdam,300,380,400,500,MOCK
Safi,300,380,400,500,MOCK
Salerno,300,380,400,500,MOCK
Salvador De Bahia,300,380,400,500,MOCK
San Antonio,300,380,400,500,MOCK
San Juan,300,380,400,500,MOCK
San Lorenzo,300,380,400,500,MOCK
Santo Tomas De Castilla,300,380,400,500,MOCK
Santos,300,380,400,500,MOCK
Savannah,300,380,400,500,MOCK
Seattle,300,380,400,500,MOCK
Semarang,300,380,400,500,MOCK
Shanghai,300,380,400,500,MOCK
Shantou,300,380,400,500,MOCK
Sharjah,300,380,400,500,MOCK
Shekou,300,380,400,500,MOCK
Shimizu,300,380,400,500,MOCK
Shuaiba,300,380,400,500,MOCK
Shuwaikh,300,380,400,500,MOCK
Sihanouk Ville,300,380,400,500,MOCK
Sihanoukville,300,380,400,500,MOCK
Singapore,300,380,400,500,MOCK
Singapre,300,380,400,500,MOCK
Sohar,300,380,400,500,MOCK
Sokhna,300,380,400,500,MOCK
Southampton,300,380,400,500,MOCK
Subic,300,380,400,500,MOCK
Surabaya,300,380,400,500,MOCK
Suva,300,380,400,500,MOCK
Sydney,300,380,400,500,MOCK
Tacoma,300,380,400,500,MOCK
Taichung,300,380,400,500,MOCK
Taipei,300,380,400,500,MOCK
Tallin,300,380,400,500,MOCK
Tampa,300,380,400,500,MOCK
Tanger Med,300,380,400,500,MOCK
Tangier,300,380,400,500,MOCK
Tanjung Pelepas,300,380,400,500,MOCK
Tauranga,300,380,400,500,MOCK
Teesport,300,380,400,500,MOCK
Tema,300,380,400,500,MOCK
Tianjin,300,380,400,500,MOCK
Tibury,300,380,400,500,MOCK
Tilbury,300,380,400,500,MOCK
Tincan,300,380,400,500,MOCK
Tokyo,300,380,400,500,MOCK
Townsville,300,380,400,500,MOCK
Trieste,300,380,400,500,MOCK
Umm Qasr,300,380,400,500,MOCK
Vado Ligure,300,380,400,500,MOCK
Valencia,300,380,400,500,MOCK
Valparaiso,300,380,400,500,MOCK
Vancouver,300,380,400,500,MOCK
Varna,300,380,400,500,MOCK
Venice,300,380,400,500,MOCK
Veracruz,300,380,400,500,MOCK
Vila Do Conde,300,380,400,500,MOCK
Vizag,300,380,400,500,MOCK
Vung Tau,300,380,400,500,MOCK
Walvis Bay,300,380,400,500,MOCK
Wellington,300,380,400,500,MOCK
Wilhelmshaven,300,380,400,500,MOCK
Xiamen,300,380,400,500,MOCK
Xingang,300,380,400,500,MOCK
Yangon,300,380,400,500,MOCK
Yangpu,300,380,400,500,MOCK
Yantai,300,380,400,500,MOCK
Yantian,300,380,400,500,MOCK
Yilport,300,380,400,500,MOCK
Yokohama,300,380,400,500,MOCK
Zeebrugge,300,380,400,500,MOCK
